Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Cuniculus paca,,,species,,
Tityra cayana,,,species,,Animalia
Tyrannus melancholicus,,,species,,Animalia
Cyanocorax cyanomelas,,,species,,Animalia
Nasua nasua,,,species,,Animalia
Pteroglossus castanotis,,,species,,Animalia
Chelonoidis carbonaria,,,species,,Animalia
Tachyphonus rufus,,,species,,Animalia
Icterus croconotus,,,species,,Animalia
Tayassu pecari,,,species,,Animalia
Crax fasciolata,,,species,,Animalia
Euphractus sexcinctus,,,species,,Animalia
Gnorimopsar chopi,,,species,,Animalia
Cyanocorax chrysops,,,species,,Animalia
Thraupis sayaca,,,species,,Animalia
Casiornis rufus,,,species,,Animalia
Ramphocelus carbo,,,species,,Animalia
Procyon cancrivorus,,,species,,Animalia
Pecari tajacu,,,species,,Animalia
Rhea americana,,,species,,Animalia
Pitangus sulphuratus,,,species,,Animalia
Trogon curucui,,,species,,Animalia
Alouatta caraya,,,species,,Animalia
Aburria cujubi,,,species,,Animalia
Mylossoma duriventre,,,species,,Animalia
Brycon amazonicus,,,species,,Animalia
Brycon melanopterus,,,species,,Animalia
Brycon falcatus,,,species,,Animalia
Myleus torquatus,,,species,,Animalia
Prodecatoma moreirai,,,species,,Animalia
Morpho achillaena,,,species,,Animalia
Aellopos fadus,,,species,,Animalia
Aellopos tantalus,,,species,,Animalia
Elsinoe genipae,,,species,,Fungi
Phyllachora genipae,,,species,,Fungi
Amazonia asterinoides,,,species,,Fungi
Deslandesia paulensis,,,species,,Fungi
Scolecostigmina genipae,,,species,,Fungi
Asterina genipae,,,species,,Fungi
Patagioenas squamosa,,,species,,Animalia
Chrysocyon brachyurus,,,species,,Animalia
Glossophaga soricina,,,species,,Animalia
Leptonycteris curasoae,,,species,,Animalia
Glossophaga leachii,,,species,,Animalia
Leptonycteris yerbabuenae,,,species,,Animalia
Choeronycteris mexicana,,,species,,Animalia
Leptonycteris nivalis,,,species,,Animalia
Choeroniscus godmani,,,species,,Animalia
Monophyllus redmani,,,species,,Animalia
Euphoria sepulcralis,,,species,,Animalia
Eumorpha labruscae,,,species,,Animalia
Turdus amaurochalinus,,,species,,
Callicebus coimbrai,,,species,,Animalia
Alouatta fusca,,,species,,Animalia
Elaenia chiriquensis,,,species,,Animalia
Saltator similis,,,species,,Animalia
Penelope superciliaris,,,species,,Animalia
