id;taxonID;scientificName;kingdom;phylum;class;order;family;genus;taxonRank;vernacularName;nomenclaturalCode;language;license;rightsHolder;accessRights;datasetID;datasetName
INBO_RL_CAR_2008_VAL_223;INBO_RL_CAR_2008_VAL_223;Dromius meridionalis;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Kustschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_224;INBO_RL_CAR_2008_VAL_224;Dromius notatus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_225;INBO_RL_CAR_2008_VAL_225;Dromius quadrimaculatus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Grote viervlekschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_226;INBO_RL_CAR_2008_VAL_226;Dromius sigma;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Dwarsvlekschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_227;INBO_RL_CAR_2008_VAL_227;Dromius spilotus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Kleine viervlekschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_228;INBO_RL_CAR_2008_VAL_228;Drypta dentata;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Drypta;species;Blauwe rondhals;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_229;INBO_RL_CAR_2008_VAL_229;Dyschirius aeneus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Oevergravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_23;INBO_RL_CAR_2008_VAL_23;Agonum lugens;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Agonum;species;Rouwsnelloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_230;INBO_RL_CAR_2008_VAL_230;Dyschirius angustatus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Smal gravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_231;INBO_RL_CAR_2008_VAL_231;Dyschirius chalceus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Groot zoutgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_232;INBO_RL_CAR_2008_VAL_232;Dyschirius extensus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_233;INBO_RL_CAR_2008_VAL_233;Dyschirius globosus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Dwerggravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_234;INBO_RL_CAR_2008_VAL_234;Dyschirius impunctipennis;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Strandgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_235;INBO_RL_CAR_2008_VAL_235;Dyschirius intermedius;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Leemgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_236;INBO_RL_CAR_2008_VAL_236;Dyschirius laeviusculus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Tweepuntgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_237;INBO_RL_CAR_2008_VAL_237;Dyschirius luedersi;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Langkielgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_238;INBO_RL_CAR_2008_VAL_238;Dyschirius nitidus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Zwart gravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_239;INBO_RL_CAR_2008_VAL_239;Dyschirius obscurus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Duingravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_24;INBO_RL_CAR_2008_VAL_24;Agonum marginatum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Agonum;species;Geelrandsnelloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_240;INBO_RL_CAR_2008_VAL_240;Dyschirius politus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Glansgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_241;INBO_RL_CAR_2008_VAL_241;Dyschirius salinus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Zoutgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_242;INBO_RL_CAR_2008_VAL_242;Dyschirius semistriatus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Bronsgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_243;INBO_RL_CAR_2008_VAL_243;Dyschirius thoracicus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dyschirius;species;Zandgravertje;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_244;INBO_RL_CAR_2008_VAL_244;Elaphrus aureus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Elaphrus;species;Gouden oeverloopkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
