id	description	type	source	language
INBO_RL_BIR_2004_VAL_109	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	oligotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	agriculture	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_11	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	shrubs	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_110	mesotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	dunes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	urban	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_111	oligotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_112	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	dunes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	urban	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_113	oligotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_114	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_115	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_116	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_117	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	grasslands	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
