providedCol0;providedCol1;providedCol2;providedExternalId;providedName;providedCol5;providedCol6;providedCol7;providedCol8;providedCol9;providedCol10;providedCol11;relationName;resolvedExternalId;resolvedName;resolvedRank;resolvedCommonNames;resolvedPath;resolvedPathIds;resolvedPathNames;resolvedExternalUrl;resolvedThumbnailUrl
;Artemisia lancea Vaniot;SAME_AS;;Artemisia lancea;;;;;;;;SAME_AS;GBIF:3120857;Artemisia lancea;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Artemisia | Artemisia lancea;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3120641 | GBIF:3120857;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3120857;
;Artemisia lavandulaefolia Nakai;SAME_AS;;Artemisia lavandulaefolia;;;;;;;;SAME_AS;GBIF:7743747;Artemisia lavandulaefolia;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Artemisia | Artemisia lavandulaefolia;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3120641 | GBIF:7743747;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7743747;
;Artemisia lavandulaefolia Nakai;SAME_AS;;Artemisia lavandulaefolia;;;;;;;;SAME_AS;GBIF:7683660;Artemisia lavandulaefolia;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Artemisia | Artemisia lavandulaefolia;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3120641 | GBIF:7683660;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7683660;
;Asclepias syriaca L.;SAME_AS;;Asclepias syriaca;;;;;;;;SAME_AS;GBIF:3170241;Asclepias curassavica;species;;Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Asclepias | Asclepias curassavica;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:412 | GBIF:6701 | GBIF:3170229 | GBIF:3170241;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3170241;
;Asclepias syriaca L.;SAME_AS;;Asclepias syriaca;;;;;;;;SAME_AS;GBIF:3170247;Asclepias syriaca;species;;Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Asclepias | Asclepias syriaca;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:412 | GBIF:6701 | GBIF:3170229 | GBIF:3170247;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3170247;
;Asperula orientalis Boiss. & Hohen.;SAME_AS;;Asperula orientalis;;;;;;;;SAME_AS;GBIF:2917001;Asperula orientalis;species;;Plantae | Tracheophyta | Magnoliopsida | Gentianales | Rubiaceae | Asperula | Asperula orientalis;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:412 | GBIF:8798 | GBIF:2916597 | GBIF:2917001;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/2917001;
;Aster laevis L.;SAME_AS;;Aster laevis;;;;;;;;SAME_AS;GBIF:3151751;Symphyotrichum versicolor;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum versicolor;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151751;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151751;
;Aster laevis L.;SAME_AS;;Aster laevis;;;;;;;;SAME_AS;GBIF:3151558;Symphyotrichum novi-belgii;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum novi-belgii;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151558;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151558;
;Aster laevis L.;SAME_AS;;Aster laevis;;;;;;;;SAME_AS;GBIF:3151558;Symphyotrichum novi-belgii;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum novi-belgii;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151558;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151558;
;Aster laevis L.;SAME_AS;;Aster laevis;;;;;;;;SAME_AS;GBIF:8421156;Symphyotrichum laeve;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum laeve;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:8421156;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8421156;
;Aster lanceolatus Willd.;SAME_AS;;Aster lanceolatus;;;;;;;;SAME_AS;GBIF:3092782;Euthamia graminifolia;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Euthamia | Euthamia graminifolia;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:7944033 | GBIF:3092782;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3092782;
;Aster lanceolatus Willd.;SAME_AS;;Aster lanceolatus;;;;;;;;SAME_AS;GBIF:3151573;Symphyotrichum praealtum;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum praealtum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151573;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151573;
;Aster lanceolatus Willd.;SAME_AS;;Aster lanceolatus;;;;;;;;SAME_AS;GBIF:7066048;Symphyotrichum lanceolatum lanceolatum;subspecies;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum lanceolatum | Symphyotrichum lanceolatum lanceolatum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:9202318 | GBIF:7066048;kingdom | phylum | class | order | family | genus | species | subspecies;http://www.gbif.org/species/7066048;
;Aster lanceolatus Willd.;SAME_AS;;Aster lanceolatus;;;;;;;;SAME_AS;GBIF:3134372;Pyrrocoma lanceolata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Pyrrocoma | Pyrrocoma lanceolata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3134363 | GBIF:3134372;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3134372;
;Aster novae-angliae L.;SAME_AS;;Aster novae-angliae;;;;;;;;SAME_AS;GBIF:3151618;Symphyotrichum novae-angliae;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum novae-angliae;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151618;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151618;
;Aster novi-belgii L.;SAME_AS;;Aster novi-belgii;;;;;;;;SAME_AS;GBIF:3151558;Symphyotrichum novi-belgii;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum novi-belgii;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151558;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151558;
;Aster salignus L.;SAME_AS;;Aster salignus;;;;;;;;SAME_AS;GBIF:7686253;Aster salignus;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Aster | Aster salignus;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3093921 | GBIF:7686253;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7686253;
;Aster salignus L.;SAME_AS;;Aster salignus;;;;;;;;SAME_AS;GBIF:3151811;Symphyotrichum salignum;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum salignum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151811;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151811;
;Aster salignus L.;SAME_AS;;Aster salignus;;;;;;;;SAME_AS;GBIF:3098616;Tripolium pannonicum;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Tripolium | Tripolium pannonicum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3098611 | GBIF:3098616;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3098616;
;Aster versicolor hort. ex Steud.;SAME_AS;;Aster versicolor;;;;;;;;SAME_AS;GBIF:7615857;Aster versicolor;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Aster | Aster versicolor;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3093921 | GBIF:7615857;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7615857;
;Aster versicolor hort. ex Steud.;SAME_AS;;Aster versicolor;;;;;;;;SAME_AS;GBIF:7615857;Aster versicolor;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Aster | Aster versicolor;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3093921 | GBIF:7615857;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7615857;
;Aster versicolor hort. ex Steud.;SAME_AS;;Aster versicolor;;;;;;;;SAME_AS;GBIF:3151751;Symphyotrichum versicolor;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum versicolor;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151751;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151751;
;Atriplex hortensis L.;SAME_AS;;Atriplex hortensis;;;;;;;;SAME_AS;GBIF:3083761;Atriplex hortensis;species;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Atriplex | Atriplex hortensis;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:10651755 | GBIF:3083761;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3083761;
;Atriplex micrantha Ledeb.;SAME_AS;;Atriplex micrantha;;;;;;;;SAME_AS;GBIF:3083680;Atriplex micrantha;species;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Atriplex | Atriplex micrantha;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:10651755 | GBIF:3083680;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3083680;
;Atriplex micrantha Ledeb.;SAME_AS;;Atriplex micrantha;;;;;;;;SAME_AS;GBIF:3760099;Atriplex sagittata;species;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Atriplex | Atriplex sagittata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:10651755 | GBIF:3760099;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3760099;
;Atriplex micrantha Ledeb.;SAME_AS;;Atriplex micrantha;;;;;;;;SAME_AS;GBIF:3083680;Atriplex micrantha;species;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Atriplex | Atriplex micrantha;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:10651755 | GBIF:3083680;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3083680;
;Azolla filiculoides Lam.;SAME_AS;;Azolla filiculoides;;;;;;;;SAME_AS;GBIF:2650107;Azolla filiculoides;species;;Plantae | Tracheophyta | Polypodiopsida | Salviniales | Salviniaceae | Azolla | Azolla filiculoides;GBIF:6 | GBIF:7707728 | GBIF:7228684 | GBIF:7229405 | GBIF:6629 | GBIF:2650103 | GBIF:2650107;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/2650107;
;Balanus improvisus Darwin, 1854;SAME_AS;;Balanus improvisus;;;;;;;;SAME_AS;GBIF:6467647;Amphibalanus improvisus;species;;Animalia | Arthropoda | Maxillopoda | Sessilia | Balanidae | Amphibalanus | Amphibalanus improvisus;GBIF:1 | GBIF:54 | GBIF:203 | GBIF:1426 | GBIF:9152 | GBIF:4805563 | GBIF:6467647;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/6467647;
;Balanus perforatus Brugui̬re, 1789-1792;SAME_AS;;Balanus perforatus;;;;;;;;SAME_AS;GBIF:9802456;Perforatus perforatus;species;;Animalia | Arthropoda | Maxillopoda | Sessilia | Balanidae | Perforatus | Perforatus perforatus;GBIF:1 | GBIF:54 | GBIF:203 | GBIF:1426 | GBIF:9152 | GBIF:4805724 | GBIF:9802456;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/9802456;
;Balsamita major Desf.;SAME_AS;;Balsamita major;;;;;;;;SAME_AS;GBIF:3118254;Tanacetum balsamita;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Tanacetum | Tanacetum balsamita;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3118160 | GBIF:3118254;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3118254;
;Bassia sieversiana (Pall.) W.A.Weber;SAME_AS;;Bassia sieversiana;;;;;;;;SAME_AS;GBIF:7219488;Bassia scoparia scoparia;subspecies;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Bassia | Bassia scoparia | Bassia scoparia scoparia;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:3083576 | GBIF:5383936 | GBIF:7219488;kingdom | phylum | class | order | family | genus | species | subspecies;http://www.gbif.org/species/7219488;
;Bellardia trixago All.;SAME_AS;;Bellardia trixago;;;;;;;;SAME_AS;GBIF:5414976;Bellardia trixago;species;;Plantae | Tracheophyta | Magnoliopsida | Lamiales | Orobanchaceae | Bellardia | Bellardia trixago;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:408 | GBIF:6651 | GBIF:3171811 | GBIF:5414976;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5414976;
;Beroe ovata Bruguiere, 1789;SAME_AS;;Beroe ovata;;;;;;;;SAME_AS;GBIF:9129866;Beroe ovata;species;;Animalia | Ctenophora | Nuda | Beroida | Beroidae | Beroe | Beroe ovata;GBIF:1 | GBIF:51 | GBIF:224 | GBIF:824 | GBIF:9595 | GBIF:10816205 | GBIF:9129866;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/9129866;
;Beroe ovata Bruguiere, 1789;SAME_AS;;Beroe ovata;;;;;;;;SAME_AS;GBIF:8236978;Beroe ovata;species;;Animalia | Ctenophora | Nuda | Beroida | Beroidae | Beroe | Beroe ovata;GBIF:1 | GBIF:51 | GBIF:224 | GBIF:824 | GBIF:9595 | GBIF:10816205 | GBIF:8236978;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8236978;
;Beroe ovata Bruguiere, 1789;SAME_AS;;Beroe ovata;;;;;;;;SAME_AS;GBIF:5233152;Beroe ovata;species;;Animalia | Ctenophora | Nuda | Beroida | Beroidae | Beroe | Beroe ovata;GBIF:1 | GBIF:51 | GBIF:224 | GBIF:824 | GBIF:9595 | GBIF:10816205 | GBIF:5233152;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5233152;
;Bidens bipinnata L.;SAME_AS;;Bidens bipinnata;;;;;;;;SAME_AS;GBIF:3098912;Cosmos bipinnatus;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Cosmos | Cosmos bipinnatus;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3098910 | GBIF:3098912;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3098912;
;Bidens bipinnata L.;SAME_AS;;Bidens bipinnata;;;;;;;;SAME_AS;GBIF:7970416;Bidens bipinnata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens bipinnata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:7970416;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7970416;
;Bidens bipinnata L.;SAME_AS;;Bidens bipinnata;;;;;;;;SAME_AS;GBIF:5389402;Bidens bipinnata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens bipinnata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5389402;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5389402;
;Bidens connata Muhl. ex Willd.;SAME_AS;;Bidens connata;;;;;;;;SAME_AS;GBIF:5392083;Bidens connata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens connata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5392083;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5392083;
;Bidens connata Muhl. ex Willd.;SAME_AS;;Bidens connata;;;;;;;;SAME_AS;GBIF:5392083;Bidens connata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens connata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5392083;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5392083;
;Bidens frondosa L.;SAME_AS;;Bidens frondosa;;;;;;;;SAME_AS;GBIF:7066284;Bidens tripartita tripartita;subspecies;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens tripartita | Bidens tripartita tripartita;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5391862 | GBIF:7066284;kingdom | phylum | class | order | family | genus | species | subspecies;http://www.gbif.org/species/7066284;
;Bidens frondosa L.;SAME_AS;;Bidens frondosa;;;;;;;;SAME_AS;GBIF:7066284;Bidens tripartita tripartita;subspecies;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens tripartita | Bidens tripartita tripartita;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5391862 | GBIF:7066284;kingdom | phylum | class | order | family | genus | species | subspecies;http://www.gbif.org/species/7066284;
;Bidens frondosa L.;SAME_AS;;Bidens frondosa;;;;;;;;SAME_AS;GBIF:5392174;Bidens frondosa;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens frondosa;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5392174;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5392174;
;Bidens vulgata Greene;SAME_AS;;Bidens vulgata;;;;;;;;SAME_AS;GBIF:5391810;Bidens vulgata;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Bidens | Bidens vulgata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3105856 | GBIF:5391810;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5391810;
;Biscutella auriculata L.;SAME_AS;;Biscutella auriculata;;;;;;;;SAME_AS;GBIF:8285621;Biscutella auriculata;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Biscutella | Biscutella auriculata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3041728 | GBIF:8285621;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8285621;
;Biscutella auriculata L.;SAME_AS;;Biscutella auriculata;;;;;;;;SAME_AS;GBIF:8285621;Biscutella auriculata;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Biscutella | Biscutella auriculata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3041728 | GBIF:8285621;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8285621;
;Biscutella auriculata L.;SAME_AS;;Biscutella auriculata;;;;;;;;SAME_AS;GBIF:3041875;Biscutella auriculata;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Biscutella | Biscutella auriculata;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3041728 | GBIF:3041875;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3041875;
;Blackfordia virginica Mayer, 1910;SAME_AS;;Blackfordia virginica;;;;;;;;SAME_AS;GBIF:2268682;Blackfordia virginica;species;;Animalia | Cnidaria | Hydrozoa | Leptothecata | Blackfordiidae | Blackfordia | Blackfordia virginica;GBIF:1 | GBIF:43 | GBIF:205 | GBIF:712 | GBIF:3941 | GBIF:2268679 | GBIF:2268682;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/2268682;
;Blitum virgatum L.;SAME_AS;;Blitum virgatum;;;;;;;;SAME_AS;GBIF:5383969;Blitum virgatum;species;;Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Blitum | Blitum virgatum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:422 | GBIF:3064 | GBIF:7723712 | GBIF:5383969;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5383969;
;Borago officinalis L.;SAME_AS;;Borago officinalis;;;;;;;;SAME_AS;GBIF:2926110;Borago officinalis;species;;Plantae | Tracheophyta | Magnoliopsida | Boraginales | Boraginaceae | Borago | Borago officinalis;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7226464 | GBIF:2498 | GBIF:2926109 | GBIF:2926110;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/2926110;
;Brachyactis ciliata (Ledeb.) Ledeb.;SAME_AS;;Brachyactis ciliata;;;;;;;;SAME_AS;GBIF:3151692;Symphyotrichum ciliatum;species;;Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Symphyotrichum | Symphyotrichum ciliatum;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3151391 | GBIF:3151692;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3151692;
;Branta canadensis (Linnaeus, 1758);SAME_AS;;Branta canadensis;;;;;;;;SAME_AS;GBIF:5232437;Branta canadensis;species;;Animalia | Chordata | Aves | Anseriformes | Anatidae | Branta | Branta canadensis;GBIF:1 | GBIF:44 | GBIF:212 | GBIF:1108 | GBIF:2986 | GBIF:2498190 | GBIF:5232437;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/5232437;
;Brassica juncea (L.) Czern.;SAME_AS;;Brassica juncea;;;;;;;;SAME_AS;GBIF:8390228;Brassica juncea;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica juncea;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:8390228;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8390228;
;Brassica juncea (L.) Czern.;SAME_AS;;Brassica juncea;;;;;;;;SAME_AS;GBIF:7600516;Brassica juncea;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica juncea;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:7600516;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7600516;
;Brassica juncea (L.) Czern.;SAME_AS;;Brassica juncea;;;;;;;;SAME_AS;GBIF:3042751;Brassica juncea;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica juncea;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:3042751;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3042751;
;Brassica juncea (L.) Czern.;SAME_AS;;Brassica juncea;;;;;;;;SAME_AS;GBIF:10988179;Brassica juncea;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica juncea;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:10988179;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/10988179;
;Brassica napus L.;SAME_AS;;Brassica napus;;;;;;;;SAME_AS;GBIF:3042636;Brassica napus;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica napus;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:3042636;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3042636;
;Brassica nigra (L.) W.D.J.Koch;SAME_AS;;Brassica nigra;;;;;;;;SAME_AS;GBIF:8010384;Brassica nigra;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica nigra;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:8010384;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/8010384;
;Brassica nigra (L.) W.D.J.Koch;SAME_AS;;Brassica nigra;;;;;;;;SAME_AS;GBIF:7509066;Brassica nigra;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica nigra;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:7509066;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7509066;
;Brassica nigra (L.) W.D.J.Koch;SAME_AS;;Brassica nigra;;;;;;;;SAME_AS;GBIF:3042658;Brassica nigra;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica nigra;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:3042658;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/3042658;
;Brassica nigra (L.) W.D.J.Koch;SAME_AS;;Brassica nigra;;;;;;;;SAME_AS;GBIF:10958266;Brassica nigra;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica nigra;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:10958266;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/10958266;
;Brassica rapa L.;SAME_AS;;Brassica rapa;;;;;;;;SAME_AS;GBIF:7903057;Brassica rapa;species;;Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Brassica | Brassica rapa;GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7225535 | GBIF:3112 | GBIF:3042506 | GBIF:7903057;kingdom | phylum | class | order | family | genus | species;http://www.gbif.org/species/7903057;
