providedCol0;providedCol1;providedCol2;providedExternalId;providedName;providedCol5;providedCol6;providedCol7;providedCol8;providedCol9;providedCol10;providedCol11;relationName;resolvedExternalId;resolvedName;resolvedRank;resolvedCommonNames;resolvedPath;resolvedPathIds;resolvedPathNames;resolvedExternalUrl;resolvedThumbnailUrl
;Ailanthus altissima Swingle;SAME_AS;;Ailanthus altissima;;;;;;;;HAS_ACCEPTED_NAME;COL:BCBF;Ailanthus altissima;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Sapindales | Simaroubaceae | Ailanthus | Ailanthus altissima;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3ZY | COL:6279Z | COL:R65 | COL:BCBF;unranked | kingdom | phylum | class | order | family | genus | species;;
;Alcea rosea L.;SAME_AS;;Alcea rosea;;;;;;;;HAS_ACCEPTED_NAME;COL:BH8Y;Alcea rosea;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | Malvoideae | Alcea | Alcea rosea;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3HP | COL:CDB | COL:JV8 | COL:RKM | COL:BH8Y;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Alkekengi officinarum Moench;SAME_AS;;Alkekengi officinarum;;;;;;;;HAS_ACCEPTED_NAME;COL:BSSV;Alkekengi officinarum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Solanales | Solanaceae | Solanoideae | Alkekengi | Alkekengi officinarum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:43W | COL:626XM | COL:628NX | COL:RZM | COL:BSSV;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Alopochen aegyptiaca (Linnaeus, 1766);SAME_AS;;Alopochen aegyptiaca;;;;;;;;HAS_ACCEPTED_NAME;COL:C5KM;Alopochen aegyptiaca;species;;Biota | Animalia | Chordata | Aves | Anseriformes | Anatidae | Tadorninae | Alopochen | Alopochen aegyptiaca;COL:5T6MX | COL:N | COL:CH2 | COL:V2 | COL:PQ | COL:6D5 | COL:628PP | COL:6294B | COL:C5KM;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus albus L.;SAME_AS;;Amaranthus albus;;;;;;;;HAS_ACCEPTED_NAME;COL:CGXJ;Amaranthus albus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus albus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGXJ;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus albus L.;SAME_AS;;Amaranthus albus;;;;;;;;SYNONYM_OF;COL:CH76;Amaranthus thunbergii;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus thunbergii;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH76;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus albus L.;SAME_AS;;Amaranthus albus;;;;;;;;SYNONYM_OF;COL:CGYL;Amaranthus blitum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus blitum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGYL;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus blitoides S.Watson;SAME_AS;;Amaranthus blitoides;;;;;;;;HAS_ACCEPTED_NAME;COL:CGYJ;Amaranthus blitoides;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus blitoides;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGYJ;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus blitum L.;SAME_AS;;Amaranthus blitum;;;;;;;;HAS_ACCEPTED_NAME;COL:CGYL;Amaranthus blitum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus blitum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGYL;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus blitum L.;SAME_AS;;Amaranthus blitum;;;;;;;;SYNONYM_OF;COL:CGYL;Amaranthus blitum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus blitum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGYL;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
