speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1091058,"Onthophagus indutus Orbigny, 1902",SPECIES,ACCEPTED,Animalia,"1091058: Onthophagus indutus Orbigny, 1902"
1091163,"Onthophagus verticicornis (Laicharting, 1781)",SPECIES,ACCEPTED,Animalia,"1091163: Onthophagus verticicornis (Laicharting, 1781)"
1091191,"Onthophagus similis (Scriba, 1790)",SPECIES,ACCEPTED,Animalia,"1091191: Onthophagus similis (Scriba, 1790)"
1091267,"Onthophagus taurus (Schreber, 1759)",SPECIES,ACCEPTED,Animalia,"1091267: Onthophagus taurus (Schreber, 1759)"
1091378,"Onthophagus fracticornis (Preyssler, 1790)",SPECIES,ACCEPTED,Animalia,"1091378: Onthophagus fracticornis (Preyssler, 1790)"
1091388,"Onthophagus sericatus Reitter, 1892",SPECIES,ACCEPTED,Animalia,"1091388: Onthophagus sericatus Reitter, 1892"
1091524,"Onthophagus ovatus (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1091524: Onthophagus ovatus (Linnaeus, 1767)"
1091784,"Onthophagus joannae Goljan, 1953",SPECIES,ACCEPTED,Animalia,"1091784: Onthophagus joannae Goljan, 1953"
1094494,"Euoniticellus fulvus (Goeze, 1777)",SPECIES,ACCEPTED,Animalia,"1094494: Euoniticellus fulvus (Goeze, 1777)"
1095652,"Stegobium paniceum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1095652: Stegobium paniceum (Linnaeus, 1758)"
1095848,"Dermestes lardarius Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1095848: Dermestes lardarius Linnaeus, 1758"
1095854,"Dermestes frischi Kugelman, 1792",SPECIES,ACCEPTED,Animalia,"1095854: Dermestes frischi Kugelman, 1792"
1095858,"Dermestes undulatus Brahms, 1790",SPECIES,ACCEPTED,Animalia,"1095858: Dermestes undulatus Brahms, 1790"
1095895,"Anthrenus verbasci (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1095895: Anthrenus verbasci (Linnaeus, 1767)"
1095899,"Anthrenus scrophulariae (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1095899: Anthrenus scrophulariae (Linnaeus, 1758)"
1096909,"Anastrangalia sanguinolenta (Linnaeus, 1761)",SPECIES,ACCEPTED,Animalia,"1096909: Anastrangalia sanguinolenta (Linnaeus, 1761)"
1100299,"Evodinus clathratus (Fabricius, 1793)",SPECIES,ACCEPTED,Animalia,"1100299: Evodinus clathratus (Fabricius, 1793)"
1119288,"Morimus funereus Mulsant, 1862",SPECIES,ACCEPTED,Animalia,"1119288: Morimus funereus Mulsant, 1862"
1119292,"Morimus asper (Sulzer, 1776)",SPECIES,ACCEPTED,Animalia,"4459448: Morimus asper funereus Mulsant, 1862"
1120671,"Dorcadion tauricum Waltl, 1838",SPECIES,ACCEPTED,Animalia,"1120671: Dorcadion tauricum Waltl, 1838"
1126665,"Callidium violaceum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1126665: Callidium violaceum (Linnaeus, 1758)"
1129494,"Dinoptera collaris (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1129494: Dinoptera collaris (Linnaeus, 1758)"
1132845,"Isotomus speciosus (Schneider, 1787)",SPECIES,ACCEPTED,Animalia,"1132845: Isotomus speciosus (Schneider, 1787)"
