id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	nomenclaturalCode	language	license	rightsHolder	accessRights	datasetID	datasetName
INBO_RL_SPI_1998_NONVAL_79	INBO_RL_SPI_1998_NONVAL_79	Carorita paludosa	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Carorita	species	Zompwevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_8	INBO_RL_SPI_1998_NONVAL_8	Agalenatea redii	Animalia	Arthropoda	Arachnida	Aranaea	Araneidae	Agalenatea	species	Brede wielwebspin	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_80	INBO_RL_SPI_1998_NONVAL_80	Centromerita bicolor	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerita	species	Groot haarpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_81	INBO_RL_SPI_1998_NONVAL_81	Centromerita concinna	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerita	species	Klein haarpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_82	INBO_RL_SPI_1998_NONVAL_82	Centromerus aequalis	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Bos-tongpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_83	INBO_RL_SPI_1998_NONVAL_83	Centromerus capucinus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Kampalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_84	INBO_RL_SPI_1998_NONVAL_84	Centromerus dilutus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Middelste tongspinnetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_85	INBO_RL_SPI_1998_NONVAL_85	Centromerus leruthi	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Leruths tandpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_86	INBO_RL_SPI_1998_NONVAL_86	Centromerus levitarsus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_87	INBO_RL_SPI_1998_NONVAL_87	Centromerus pabulator	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Kegelpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_88	INBO_RL_SPI_1998_NONVAL_88	Centromerus persimilis	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Drietongetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_89	INBO_RL_SPI_1998_NONVAL_89	Centromerus prudens	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Porceleinspinnetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_9	INBO_RL_SPI_1998_NONVAL_9	Agelena gracilens	Animalia	Arthropoda	Arachnida	Aranaea	Agelenidae	Agelena	species	Doolhofspin	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_90	INBO_RL_SPI_1998_NONVAL_90	Centromerus semiater	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Moerastongpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_91	INBO_RL_SPI_1998_NONVAL_91	Centromerus serratus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Fijn zaagpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_92	INBO_RL_SPI_1998_NONVAL_92	Centromerus sylvaticus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Centromerus	species	Gewoon zaagpalpje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_93	INBO_RL_SPI_1998_NONVAL_93	Ceratinella brevipes	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Ceratinella	species	Gewoon schildspinnetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_94	INBO_RL_SPI_1998_NONVAL_94	Ceratinella brevis	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Ceratinella	species	Zwart schilspinnetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_95	INBO_RL_SPI_1998_NONVAL_95	Ceratinella scabrosa	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Ceratinella	species	Lepel-schildspinnetje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_96	INBO_RL_SPI_1998_NONVAL_96	Ceratinopsis romana	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Ceratinopsis	species	Bosplatkopje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_97	INBO_RL_SPI_1998_NONVAL_97	Ceratinopsis stativa	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Ceratinopsis	species	Weideplatkopje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_98	INBO_RL_SPI_1998_NONVAL_98	Cercidia prominens	Animalia	Arthropoda	Arachnida	Aranaea	Araneidae	Cercidia	species	Stekelrugje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_99	INBO_RL_SPI_1998_NONVAL_99	Cheiracanthium erraticum	Animalia	Arthropoda	Arachnida	Aranaea	Clubionidae	Cheiracanthium	species	Heidezakspin	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_1	INBO_RL_WBE_1994_NONVAL_1	Acilius canaliculatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius	species	Gestreepte haarwaterroofkever	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_10	INBO_RL_WBE_1994_NONVAL_10	Agabus didymus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_100	INBO_RL_WBE_1994_NONVAL_100	Hygrobia hermanni	Animalia	Arthropoda	Insecta	Coleoptera	Paelobiidae	Hygrobia	species	Modderkever	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_101	INBO_RL_WBE_1994_NONVAL_101	Hygrotus decoratus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_102	INBO_RL_WBE_1994_NONVAL_102	Coelambus impressopunctatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Coelambus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_103	INBO_RL_WBE_1994_NONVAL_103	Hygrotus inaequalis	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_104	INBO_RL_WBE_1994_NONVAL_104	Coelambus nigrolineatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Coelambus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_105	INBO_RL_WBE_1994_NONVAL_105	Coelambus novemlineatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Coelambus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_106	INBO_RL_WBE_1994_NONVAL_106	Coelambus parallellogrammus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Coelambus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_107	INBO_RL_WBE_1994_NONVAL_107	Hygrotus versicolor	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_108	INBO_RL_WBE_1994_NONVAL_108	Hyphydrus ovatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hyphydrus	species	Eironde watertor	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_109	INBO_RL_WBE_1994_NONVAL_109	Ilybius aenescens	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_11	INBO_RL_WBE_1994_NONVAL_11	Agabus guttatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_110	INBO_RL_WBE_1994_NONVAL_110	Ilybius ater	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_111	INBO_RL_WBE_1994_NONVAL_111	Ilybius fenestratus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species	Vensterwaterroofkever	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_112	INBO_RL_WBE_1994_NONVAL_112	Ilybius fuliginosus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_113	INBO_RL_WBE_1994_NONVAL_113	Ilybius guttiger	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_114	INBO_RL_WBE_1994_NONVAL_114	Ilybius quadriguttatus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_115	INBO_RL_WBE_1994_NONVAL_115	Ilybius subaeneus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_116	INBO_RL_WBE_1994_NONVAL_116	Laccophilus hyalinus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Laccophilus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_WBE_1994_NONVAL_117	INBO_RL_WBE_1994_NONVAL_117	Laccophilus minutus	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Laccophilus	species		ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
